ALLIAR,AALR3 
ABC Brasil,ABCB3
ABC Brasil,ABCB4
AMBEV S/A,ABEV3
SOMOS EDUCA,ABRE3
ABYARA,ABYA3
ARCELORMITTAL INOX BRASIL,ACES3
ARCELORMITTAL INOX BRASIL,ACES4
VITALYZE.ME,ADHM3
ANHANGUERA EDUCACIONAL PARTICIPACOES SA,AEDU11
ANHANGUERA EDUCACIONAL PARTICIPACOES SA,AEDU3
AES ELPA,AELP3
AES SUL DISTRIB. GAUCHA DE ENERGIA S.A.,AESL3
AES SUL DISTRIB. GAUCHA DE ENERGIA S.A.,AESL4
AFLUENTE T,AFLT3
AFLUENTE,AFLU3
AFLUENTE,AFLU5
AGRE EMP IMOB,AGEI3
Agrenco,AGEN33
Agra Incorp,AGIN3
BRASILAGRO,AGRO3
PARQUE ANHEMBI,AHEB3
PARQUE ANHEMBI,AHEB5
PARQUE ANHEMBI,AHEB6
DANA-ALBARUS S/A INDUSTRIA E COMERCIO,ALBA3
ALL - AMERICA LATINA LOGISTICA S/A,ALLL11
ALL - AMERICA LATINA LOGISTICA S/A,ALLL3
ALL - AMERICA LATINA LOGISTICA S/A,ALLL4
ALPARGATAS,ALPA3
ALPARGATAS,ALPA4
ESTAPAR,ALPK3
ALIANSCE,ALSC3
ALIANSCSONAE,ALSO3
ALUPAR,ALUP11
ALUPAR,ALUP3
ALUPAR,ALUP4
LOJAS MARISA,AMAR3
AMBEV,AMBV3
AMBEV,AMBV4
AMIL,AMIL3
AMPLA INVEST,AMPI3
ANIMA,ANIM3
VITALYZE.ME,AORE3
ALPER S.A.,APER3
ALIPERTI,APTI4
BELGO,ARCE3
ARACRUZ CELULOSE SA,ARCZ3
ARACRUZ CELULOSE SA,ARCZ6
ARTHUR LANGE,ARLA3
ARTHUR LANGE,ARLA4
DOUAT CIA TEXTIL,ARPS3
DOUAT CIA TEXTIL,ARPS4
KUALA S.A.,ARTE3
KUALA S.A.,ARTE4
ARTERIS,ARTR3
AREZZO CO,ARZZ3
HOTEIS ELDORADO,ASSM3
HOTEIS ELDORADO,ASSM4
SANTISTA TEXTIL S.A.,ASTA4
ATOMPAR,ATOM3
AUTOMETAL,AUTM3
ACOS VILLARES,AVIL3
AZEVEDO &amp; TRAVASSOS,AZEV3
AZEVEDO &amp; TRAVASSOS,AZEV4
AZUL,AZUL4
B3,B3SA3
BAHEMA,BAHI11
BAHEMA,BAHI3
BAHEMA,BAHI4
BAHEMA,BAHI5
BAUMER,BALM3
BAUMER,BALM4
EXCELSIOR,BAUH4
BANCO DA AMAZONIA S.A.,BAZA3
BANCO DO BRASIL S.A.,BBAS3
BANCO BRADESCO S.A.,BBDC3
BANCO BRADESCO S.A.,BBDC4
BR Brokers,BBRK3
BBSEGURIDADE,BBSE3
BTG PACTUAL UNITS,BBTG11
BTG PACTUAL,BBTG12
BTG PACTUAL,BBTG13
PRO METALURG,BCAL6
BAEDELLA,BDLL3
BAEDELLA,BDLL4
BEC,BECE3
BEC,BECE4
Minerva,BEEF3
BANESTES S/A,BEES3
BANESTES S/A,BEES4
BELGO,BELG3
BELGO,BELG4
Bematech,BEMA3
BERGAMO,BERG3
BANESPA,BESP3
BANESPA,BESP4
BANCO SUDAMERIS BRASIL SA,BFIT3
BANCO SUDAMERIS BRASIL SA,BFIT4
BANESE,BGIP3
BANESE,BGIP4
BHG,BHGR3
BicBanco,BICB3
BicBanco,BICB4
INTER BANCO,BIDI11
INTER BANCO,BIDI3
INTER BANCO,BIDI4
BIOMM SA,BIOM3
BIOMM SA,BIOM4
BROOKFIELD INCORPORACOES,BISA3
BK BRASIL,BKBR3
BANCO MERCANTIL DO BRASIL S/A,BMEB3
BANCO MERCANTIL DO BRASIL S/A,BMEB4
BMF,BMEF3
BANCO BMG,BMGB11
BANCO BMG,BMGB4
BANCO MERCANTIL DE INVESTIMENTOS SA,BMIN3
BANCO MERCANTIL DE INVESTIMENTOS SA,BMIN4
MONARK,BMKS3
BRASMOTOR S.A,BMTO3
BRASMOTOR S.A,BMTO4
BANCO DO NORDESTE,BNBR3
BANCO DO NORDESTE,BNBR4
NOSSA CAIXA-NOSSO BANCO,BNCA3
BOMBRIL SA,BOBR3
BOMBRIL SA,BOBR4
Bovespa Hld,BOVH3
BTGP BANCO,BPAC11
BTGP BANCO,BPAC3
BTGP BANCO,BPAC5
BANCO PAN,BPAN4
BANPARA S.A.,BPAR3
Patagonia,BPAT33
BRAZIL PHARMA S.A.,BPHA3
BEP,BPIA3
BANCO PAN,BPNM3
BANCO PAN,BPNM4
BRADESPAR S/A,BRAP3
BRADESPAR S/A,BRAP4
PETROBRAS BR,BRDT3
BRF Foods,BRFS3
CONSORCIO ALFA,BRGE11
CONSORCIO ALFA,BRGE12
CONSORCIO ALFA,BRGE3
CONSORCIO ALFA,BRGE5
CONSORCIO ALFA,BRGE6
CONSORCIO ALFA,BRGE7
CONSORCIO ALFA,BRGE8
ALPER S.A.,BRIN3
ALFA DE INVESTIMENTO,BRIV3
ALFA DE INVESTIMENTO,BRIV4
BRASKEM,BRKM3
BRASKEM,BRKM5
BRASKEM,BRKM6
BR MALLS PARTICIPACOES S/A,BRML3
BR PROPERTIES,BRPR3
BANRISUL S/A,BRSR3
